Wavelength [nm]	MV4_03 [%]	MV4_02 [%]	MV4_01 [%]	MV3_03 [%]	MV3_02 [%]	MV3_01 [%]	MV2_02 [%]	MV2_01 [%]	MV1_02 [%]	MV1_01 [%]
580	53.56362	61.54424	58.90876	31.71751	58.90876	27.94401	53.53206	53.62746	43.61903	43.06853
590	53.85625	61.79998	59.11613	31.79138	59.11613	27.51024	53.50783	53.6117	43.77568	43.18112
600	54.11821	62.05613	59.34865	31.92686	59.34865	27.69395	53.65936	53.73078	43.93945	43.33029
610	54.32302	62.25615	59.53089	32.02739	59.53089	28.08066	53.73633	53.81889	44.07568	43.44135
620	54.466	62.40014	59.63986	32.06849	59.63986	28.2394	53.72365	53.82997	44.15555	43.50557
630	54.58284	62.50017	59.70741	32.06862	59.70741	28.20254	53.60554	53.78039	44.19775	43.52765
640	54.66428	62.59718	59.756	32.03465	59.756	28.04656	53.48253	53.67143	44.20771	43.52064
650	54.73302	62.67456	59.76897	31.97346	59.76897	27.52382	53.41079	53.52023	44.17653	43.49834
660	54.78947	62.72803	59.76732	31.92119	59.76732	26.45954	53.16857	53.32807	44.12114	43.45744
670	54.87898	62.83011	59.78495	31.83376	59.78495	25.83761	52.85015	53.16021	44.05991	43.42265
680	54.96509	62.91811	59.79402	31.79552	59.79402	25.52118	52.54982	52.97363	43.99456	43.37774
690	55.02201	62.98792	59.77221	31.70747	59.77221	25.43524	52.35146	52.75999	43.94093	43.32244
700	55.09242	62.99592	59.68657	31.57291	59.68657	25.61401	52.17408	52.43506	43.86446	43.21666
710	55.16373	63.00946	59.6094	31.50958	59.6094	25.92472	52.02947	52.14857	43.71553	43.15093
720	55.27557	62.99251	59.49141	31.39155	59.49141	26.38518	51.66261	51.87984	43.62299	43.04832
730	55.29078	62.94696	59.33164	31.20592	59.33164	26.9996	51.08774	51.60423	43.43695	42.86402
740	55.18787	62.90151	59.15488	30.99504	59.15488	27.77417	50.38922	51.25582	43.20528	42.64866
750	55.00276	62.85312	58.96986	30.77658	58.96986	28.62181	49.66507	50.6558	42.96101	42.42868
760	54.77804	62.81835	58.78697	30.5732	58.78697	29.56344	49.02456	49.98568	42.74426	42.24317
770	54.59246	62.82832	58.61326	30.40227	58.61326	30.4904	48.62153	49.481	42.59793	42.17341
780	54.48591	62.87991	58.45485	30.29175	58.45485	31.27285	48.42684	49.18147	42.6015	42.22276
790	54.45019	62.98884	58.34008	30.31664	58.34008	32.23088	48.47343	49.08199	42.73793	42.39781
800	54.49769	63.12984	58.25704	30.47793	58.25704	33.21463	48.68137	49.13011	43.00707	42.69577
810	54.56263	63.28064	58.20167	30.73108	58.20167	34.02391	48.95377	49.27699	43.34611	43.04186
820	54.66401	63.43866	58.20412	31.06277	58.20412	34.53307	49.35852	49.53415	43.75251	43.43767
830	54.8014	63.5889	58.2741	31.4599	58.2741	34.70244	49.84234	49.87188	44.20086	43.85082
840	54.95325	63.76996	58.40244	31.90785	58.40244	34.57133	50.46851	50.28321	44.65718	44.30034
850	55.14766	63.91517	58.5531	32.39008	58.5531	34.00288	51.07933	50.73499	45.12725	44.76333
860	55.30313	64.01426	58.70963	32.83832	58.70963	33.30487	51.5108	51.16478	45.55508	45.15675
870	55.43579	64.07383	58.81819	33.16953	58.81819	33.04237	51.91529	51.53155	45.89798	45.45359
880	55.50458	64.05963	58.89543	33.49036	58.89543	32.71281	52.38397	51.82684	46.13863	45.65483
890	55.52789	63.98554	58.9214	33.66801	58.9214	32.34017	52.78798	52.02824	46.28474	45.75853
900	55.55796	63.83676	58.90448	33.77617	58.90448	31.9505	52.99298	52.11787	46.27863	45.74276
910	55.51679	63.69272	58.89226	33.83517	58.89226	31.549	52.94833	52.19463	46.13357	45.66223
920	55.40706	63.49839	58.81193	33.71684	58.81193	31.18004	52.53413	52.11984	45.90383	45.41867
930	55.11988	63.30995	58.73132	33.51422	58.73132	30.82705	51.98148	51.89268	45.48324	45.0746
940	54.76732	63.13139	58.62764	33.25604	58.62764	30.49837	51.38484	51.436	45.0312	44.7049
950	54.41015	62.97013	58.49865	32.98793	58.49865	30.20951	50.84458	50.80472	44.55074	44.35601
960	54.09001	62.83069	58.37449	32.71568	58.37449	30.01484	50.41872	50.33488	44.10271	44.07702
970	53.87388	62.76303	58.25293	32.46339	58.25293	29.81312	50.15018	50.07727	43.76906	43.89516
980	53.73761	62.7453	58.13542	32.28863	58.13542	29.67436	49.91559	49.87457	43.50677	43.78499
990	53.63677	62.74517	58.02208	32.21132	58.02208	29.60859	49.72284	49.68755	43.29736	43.73036
1000	53.54503	62.74279	57.93122	32.18197	57.93122	29.58342	49.56076	49.53769	43.12732	43.72472
1010	53.45981	62.78317	57.88605	32.19391	57.88605	29.60573	49.42664	49.42652	42.97979	43.7083
1020	53.42556	62.8381	57.86582	32.23743	57.86582	29.66563	49.31672	49.36073	42.88827	43.73462
1030	53.40906	62.89999	57.87802	32.34408	57.87802	29.7301	49.22067	49.29552	42.8176	43.78907
1040	53.4004	62.97238	57.88782	32.47046	57.88782	29.84832	49.14347	49.24223	42.76698	43.87678
1050	53.36686	63.00401	57.86827	32.58199	57.86827	29.94616	49.02445	49.1612	42.71372	43.9406
1060	53.27316	62.98943	57.80972	32.62583	57.80972	30.00602	48.88776	49.04608	42.62049	43.96045
1070	53.172	62.97839	57.74658	32.67434	57.74658	30.05394	48.75498	48.92265	42.52932	43.95431
1080	53.05786	62.97764	57.6706	32.73848	57.6706	30.09737	48.61639	48.81676	42.44693	43.9605
1090	52.94603	62.96636	57.59498	32.80089	57.59498	30.15053	48.47237	48.7107	42.38829	43.97027
1100	52.83552	62.94089	57.5206	32.84845	57.5206	30.214	48.34641	48.59274	42.31649	43.95911
1110	52.69321	62.92791	57.42743	32.91123	57.42743	30.25733	48.19934	48.46539	42.24614	43.96224
1120	52.57829	62.91603	57.34047	32.97067	57.34047	30.33142	48.07915	48.35429	42.16834	43.95405
1130	52.47125	62.92714	57.29848	33.04483	57.29848	30.3827	47.95431	48.25114	42.12619	43.96631
1140	52.38075	62.92322	57.22166	33.12053	57.22166	30.45873	47.82621	48.13538	42.08849	43.96908
1150	52.28589	62.9256	57.16508	33.1967	57.16508	30.50344	47.69079	48.01536	42.02032	43.98773
1160	52.19775	62.94886	57.13853	33.26898	57.13853	30.59184	47.57911	47.91208	41.98696	44.00957
1170	52.15821	63.01321	57.10325	33.36877	57.10325	30.68426	47.47137	47.82476	41.96897	44.05378
1180	52.13116	63.06306	57.08688	33.45735	57.08688	30.76698	47.37178	47.72216	41.91161	44.08889
